Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes
2023,77690,Honda,Civic,0
2020,143481,Honda,CR-V,0
2014,113467,Ford,Fiesta,0
2021,164273,Chevrolet,Spark,0
2024,88744,Chevrolet,Onix,0
2023,19685,Honda,Civic,0
2024,22361,Ford,Fiesta,0
2022,68616,Toyota,Yaris,0
2015,142542,Ford,Fiesta,0
2012,185200,Chevrolet,Onix,0
2023,169471,Toyota,Yaris,0
2012,29448,Toyota,Corolla,0
2010,112476,Ford,Fiesta,0
2020,176371,Honda,Civic,0
2019,146299,Chevrolet,Onix,0
2011,7541,Ford,Focus,0
2011,180011,Chevrolet,Onix,0
2021,87662,Toyota,Yaris,0
2021,165500,Honda,CR-V,0
2017,78328,Toyota,Yaris,0
2017,168094,Chevrolet,Onix,0
2010,203978,Chevrolet,Onix,0
2011,53565,Ford,Fiesta,0
2024,168466,Ford,Focus,0
2016,217223,Ford,Focus,0
2023,200771,Ford,Fiesta,0
2017,29165,Toyota,Corolla,0
2013,54441,Toyota,Corolla,0
2024,183219,Toyota,Corolla,0
2010,45813,Chevrolet,Onix,0
2017,15403,Toyota,Corolla,0
2020,34553,Honda,Civic,0
2023,86090,Toyota,Yaris,0
2017,81156,Toyota,Corolla,0
2021,92153,Ford,Fiesta,1
2022,122926,Chevrolet,Onix,0
2023,38616,Toyota,Corolla,0
2018,39113,Honda,CR-V,0
2017,89885,Chevrolet,Onix,0
2010,11180,Honda,Civic,1
2015,197959,Ford,Fiesta,0
2017,122715,Ford,Fiesta,0
2013,204816,Ford,Focus,1
2010,95641,Honda,CR-V,1
2015,68035,Honda,CR-V,0
2020,213314,Toyota,Corolla,0
2019,202106,Honda,CR-V,1
2022,57277,Chevrolet,Spark,0
2014,196426,Chevrolet,Onix,0
2013,159025,Ford,Focus,0
2017,172379,Chevrolet,Onix,0
2022,120548,Toyota,Yaris,0
2011,47983,Honda,Civic,0
2024,50939,Ford,Focus,0
2011,213965,Honda,Civic,0
2024,154199,Chevrolet,Spark,0
2024,153211,Chevrolet,Spark,0
2019,30317,Chevrolet,Spark,0
2013,137817,Chevrolet,Onix,0
2014,161302,Honda,CR-V,0
2014,8670,Honda,CR-V,0
2023,8799,Chevrolet,Onix,0
2014,123068,Ford,Fiesta,1
2019,118803,Honda,CR-V,0
2021,36262,Ford,Focus,0
2013,148430,Chevrolet,Onix,0
2015,12552,Ford,Focus,0
2022,139975,Toyota,Corolla,0
2010,114472,Toyota,Yaris,0
2016,138889,Ford,Fiesta,0
2013,21330,Ford,Focus,0
2014,122671,Chevrolet,Spark,0
2016,164621,Toyota,Yaris,0
2012,192474,Honda,CR-V,0
2022,215254,Honda,CR-V,0
2014,90300,Ford,Focus,0
2012,160172,Toyota,Yaris,0
2012,44331,Chevrolet,Onix,0
2013,48490,Honda,CR-V,0
2016,144559,Ford,Fiesta,0
2010,165612,Chevrolet,Spark,0
2015,148986,Honda,Civic,0
2022,194559,Ford,Focus,0
2021,179303,Ford,Fiesta,0
2021,12450,Toyota,Corolla,0
2018,170147,Honda,CR-V,0
2021,9846,Chevrolet,Spark,0
2010,215366,Chevrolet,Onix,0
2024,28122,Toyota,Yaris,0
