Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes
2014,27000,Ritz,Ritz,0
2013,43000,Sx4,Sx4,0
2017,6900,Ciaz,Ciaz,1
2011,5200,Wagon,R,0
2014,42450,Swift,Swift,0
2018,2071,Vitara,Brezza,0
2015,18796,Ciaz,Ciaz,0
2015,33429,S,Cross,0
2016,20273,Ciaz,Ciaz,1
2015,42367,Ciaz,Ciaz,0
2017,2135,Alto,800,0
2015,51000,Ciaz,Ciaz,0
2015,15000,Ciaz,Ciaz,0
2015,26000,Ertiga,Ertiga,0
2009,77427,Dzire,Dzire,0
2016,43000,Ertiga,Ertiga,0
2015,41678,Ertiga,Ertiga,1
2016,43000,Ertiga,Ertiga,0
2015,35500,Wagon,R,1
2010,41442,Sx4,Sx4,1
2016,25000,Alto,K10,0
2017,2400,Ignis,Ignis,0
2011,50000,Sx4,Sx4,1
2014,45280,Alto,K10,1
2013,56879,Wagon,R,1
2011,20000,Swift,Swift,0
2013,55138,Swift,Swift,0
2017,16200,Swift,Swift,1
2010,44542,Alto,K10,0
2015,45000,Ciaz,Ciaz,0
2012,51439,Ritz,Ritz,1
2011,54200,Ritz,Ritz,0
2014,39000,Swift,Swift,1
2014,45000,Ertiga,Ertiga,1
2014,45000,Dzire,Dzire,1
2011,49998,Sx4,Sx4,0
2015,48767,Dzire,Dzire,1
2003,127000,800,800,0
2016,10079,Alto,K10,1
2003,62000,Sx4,Sx4,0
2016,24524,Baleno,Baleno,1
2014,46706,Alto,K10,1
2008,58000,Sx4,Sx4,0
2014,45780,Dzire,Dzire,0
2012,50000,Omni,Omni,0
2014,15000,Ciaz,Ciaz,0
2013,64532,Ritz,Ritz,1
2006,65000,Wagon,R,0
2015,25870,Ertiga,Ertiga,0
2017,37000,Ciaz,Ciaz,0
2012,104707,Fortuner,Fortuner,1
2015,40000,Fortuner,Fortuner,1
2017,15000,Innova,Innova,1
2013,135000,Fortuner,Fortuner,1
2005,90000,Innova,Innova,0
2009,70000,Corolla,Altis,1
2015,40534,Etios,Cross,1
2010,50000,Corolla,Altis,0
2014,39485,Etios,G,1
2014,41000,Fortuner,Fortuner,0
2013,40001,Corolla,Altis,0
2015,40588,Etios,Cross,0
2014,78000,Fortuner,Fortuner,0
2015,47000,Fortuner,Fortuner,1
2017,6000,Fortuner,Fortuner,1
2014,45000,Etios,Liva,1
2017,11000,Innova,Innova,0
2010,59000,Fortuner,Fortuner,1
2011,88000,Corolla,Altis,0
2016,12000,Corolla,Altis,0
2014,71000,Etios,Liva,0
2011,45000,Corolla,Altis,1
2013,56001,Corolla,Altis,1
2011,43000,Etios,Liva,1
2014,83000,Etios,Cross,0
2015,36000,Etios,G,0
2013,72000,Corolla,Altis,1
2004,135154,Corolla,Corolla,0
2010,80000,Corolla,Altis,1
2012,89000,Fortuner,Fortuner,1
2016,23000,Corolla,Altis,1
2015,40000,Etios,Gd,0
2017,15000,Innova,Innova,1
2015,38000,Innova,Innova,0
2005,197176,Innova,Innova,0
2006,142000,Camry,Camry,1
2010,78000,Land,Cruiser,1
2012,56000,Corolla,Altis,1
2013,47000,Etios,Liva,1
2014,40000,Etios,G,0
2009,62000,Corolla,Altis,0
2014,58242,Innova,Innova,1
2005,75000,Innova,Innova,0
2015,40000,Fortuner,Fortuner,0
2008,89000,Corolla,Altis,0
2012,72000,Corolla,Altis,0
2016,29000,Innova,Innova,0
2017,8700,Corolla,Altis,1
2013,45000,Corolla,Altis,0
2010,50024,Fortuner,Fortuner,1
2016,3000,Royal,Enfield Thunder 500,1
2017,1400,Um,Renegade Mojave,1
2017,4000,Ktm,Rc200,1
2017,1200,Bajaj,Dominar 400,0
2017,4100,Royal,Enfield Classic 350,0
2015,21700,Ktm,Rc390,1
2014,16500,Hyosung,Gt250R,1
2013,15000,Royal,Enfield Thunder 350,0
2016,18000,Royal,Enfield Thunder 350,1
2017,11000,Royal,Enfield Classic 350,1
2016,6000,Ktm,Rc200,0
2016,8700,Royal,Enfield Thunder 350,1
2014,7000,Ktm,390 Duke,0
2016,35000,Mahindra,Mojo Xt300,1
2015,17000,Royal,Enfield Classic 350,0
2015,17500,Royal,Enfield Classic 350,0
2013,33000,Royal,Enfield Classic 350,1
2015,14000,Royal,Enfield Thunder 500,0
2015,26000,Royal,Enfield Classic 350,0
2013,5400,Royal,Enfield Thunder 500,1
2016,5700,Bajaj,Pulsar Rs200,0
2011,6900,Royal,Enfield Thunder 350,0
2016,6000,Royal,Enfield Bullet 350,1
2013,46500,Royal,Enfield Classic 350,1
2012,11500,Royal,Enfield Classic 500,0
2009,40000,Royal,Enfield Classic 500,0
2017,1300,Bajaj,Avenger 220,1
2016,7000,Bajaj,Avenger 150,1
2017,3000,Honda,Cb Hornet 160R,0
2017,5000,Yamaha,Fz S V 2.0,0
2017,11000,Honda,Cb Hornet 160R,0
2015,18000,Yamaha,Fz 16,0
2017,3500,Bajaj,Avenger 220,0
2016,500,Bajaj,Avenger 220,1
2017,11800,Tvs,Apache Rtr 160,0
2015,5000,Bajaj,Pulsar 150,0
2014,23500,Honda,Cbr 150,0
2013,16000,Hero,Extreme,1
2016,15000,Honda,Cb Hornet 160R,0
2015,16600,Bajaj,Avenger 220 Dtsi,1
2013,32000,Honda,Cbr 150,1
2016,20000,Bajaj,Avenger 150 Street,0
2015,29000,Yamaha,Fz V 2.0,0
2016,25000,Yamaha,Fz V 2.0,1
2014,25000,Bajaj,Pulsar Ns 200,1
2012,19000,Tvs,Apache Rtr 160,1
2014,15000,Hero,Extreme,1
2015,58000,Yamaha,Fz S V 2.0,1
2010,45000,Bajaj,Pulsar 220 F,0
2016,24000,Bajaj,Pulsar 220 F,0
2011,6000,Tvs,Apache Rtr 180,0
2016,31000,Hero,Passion X Pro,0
2012,13000,Bajaj,Pulsar Ns 200,1
2013,45000,Bajaj,Pulsar Ns 200,0
2014,8000,Yamaha,Fazer,0
2017,4300,Honda,Activa 4G,0
2017,15000,Tvs,Sport,0
2015,23000,Yamaha,Fz S V 2.0,0
2017,8600,Honda,Dream Yuga,0
2017,4000,Honda,Activa 4G,0
2011,24000,Bajaj,Avenger Street 220,0
2014,23000,Tvs,Apache Rtr 180,0
2012,14500,Bajaj,Pulsar Ns 200,1
2010,27000,Bajaj,Avenger 220 Dtsi,0
2016,14000,Hero,Splender Ismart,0
2016,500,Activa,3G,1
2016,1000,Hero,Passion Pro,1
2014,42000,Tvs,Apache Rtr 160,0
2013,12000,Honda,Cb Trigger,0
2015,14000,Hero,Splender Ismart,1
2012,5500,Yamaha,Fz S,0
2015,6700,Hero,Passion Pro,1
2014,13700,Bajaj,Pulsar 135 Ls,1
2017,1300,Activa,4G,0
2015,38600,Honda,Cb Unicorn,0
2011,75000,Hero,Honda Cbz Extreme,0
2011,30000,Honda,Karizma,1
2016,24000,Honda,Activa 125,1
2014,19000,Tvs,Jupyter,1
2010,213000,Honda,Karizma,1
2012,60000,Hero,Honda Passion Pro,1
2016,50000,Hero,Splender Plus,0
2013,30000,Honda,Cb Shine,0
2013,21000,Bajaj,Discover 100,0
2008,26000,Bajaj,Pulsar 150,1
2008,1900,Suzuki,Access 125,1
2010,22000,Tvs,Wego,0
2013,32000,Honda,Cb Twister,0
