Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2014,27000,Ritz,Ritz,0,16.53
2013,43000,Sx4,Sx4,0,2.09
2017,6900,Ciaz,Ciaz,1,7.96
2011,5200,Wagon,R,0,6.75
2014,42450,Swift,Swift,0,18.81
2018,2071,Vitara,Brezza,0,17.4
2015,18796,Ciaz,Ciaz,0,22.47
2015,33429,S,Cross,0,3.54
2016,20273,Ciaz,Ciaz,1,11.42
2015,42367,Ciaz,Ciaz,0,2.2
2017,2135,Alto,800,0,6.64
2015,51000,Ciaz,Ciaz,0,13.38
2015,15000,Ciaz,Ciaz,0,2.12
2015,26000,Ertiga,Ertiga,0,6.17
2009,77427,Dzire,Dzire,0,16.77
2016,43000,Ertiga,Ertiga,0,14.31
2015,41678,Ertiga,Ertiga,1,6.68
2016,43000,Ertiga,Ertiga,0,15.35
2015,35500,Wagon,R,1,20.52
2010,41442,Sx4,Sx4,1,1.65
2016,25000,Alto,K10,0,20.44
2017,2400,Ignis,Ignis,0,17.91
2011,50000,Sx4,Sx4,1,9.5
2014,45280,Alto,K10,1,5.15
2013,56879,Wagon,R,1,23.99
2011,20000,Swift,Swift,0,9.41
2013,55138,Swift,Swift,0,3.68
2017,16200,Swift,Swift,1,3.77
2010,44542,Alto,K10,0,21.42
2015,45000,Ciaz,Ciaz,0,15.69
2012,51439,Ritz,Ritz,1,20.47
2011,54200,Ritz,Ritz,0,18.65
2014,39000,Swift,Swift,1,14.1
2014,45000,Ertiga,Ertiga,1,24.37
2014,45000,Dzire,Dzire,1,10.4
2011,49998,Sx4,Sx4,0,14.47
2015,48767,Dzire,Dzire,1,20.99
2003,127000,800,800,0,16.04
2016,10079,Alto,K10,1,21.75
2003,62000,Sx4,Sx4,0,15.07
2016,24524,Baleno,Baleno,1,18.06
2014,46706,Alto,K10,1,2.58
2008,58000,Sx4,Sx4,0,6.86
2014,45780,Dzire,Dzire,0,8.3
2012,50000,Omni,Omni,0,3.38
2014,15000,Ciaz,Ciaz,0,6.97
2013,64532,Ritz,Ritz,1,3.87
2006,65000,Wagon,R,0,8.03
2015,25870,Ertiga,Ertiga,0,16.44
2017,37000,Ciaz,Ciaz,0,10.07
2012,104707,Fortuner,Fortuner,1,10.2
2015,40000,Fortuner,Fortuner,1,6.42
2017,15000,Innova,Innova,1,7.77
2013,135000,Fortuner,Fortuner,1,23.51
2005,90000,Innova,Innova,0,16.73
2009,70000,Corolla,Altis,1,15.81
2015,40534,Etios,Cross,1,5.52
2010,50000,Corolla,Altis,0,18.63
2014,39485,Etios,G,1,5.34
2014,41000,Fortuner,Fortuner,0,10.42
2013,40001,Corolla,Altis,0,24.75
2015,40588,Etios,Cross,0,16.54
2014,78000,Fortuner,Fortuner,0,14.59
2015,47000,Fortuner,Fortuner,1,17.59
2017,6000,Fortuner,Fortuner,1,21.31
2014,45000,Etios,Liva,1,19.74
2017,11000,Innova,Innova,0,6.88
2010,59000,Fortuner,Fortuner,1,2.25
2011,88000,Corolla,Altis,0,8.91
2016,12000,Corolla,Altis,0,7.79
2014,71000,Etios,Liva,0,6.46
2011,45000,Corolla,Altis,1,23.66
2013,56001,Corolla,Altis,1,22.09
2011,43000,Etios,Liva,1,8.89
2014,83000,Etios,Cross,0,16.9
2015,36000,Etios,G,0,10.8
2013,72000,Corolla,Altis,1,22.99
2004,135154,Corolla,Corolla,0,12.28
2010,80000,Corolla,Altis,1,7.72
2012,89000,Fortuner,Fortuner,1,7.3
2016,23000,Corolla,Altis,1,14.69
2015,40000,Etios,Gd,0,7.67
2017,15000,Innova,Innova,1,15.24
2015,38000,Innova,Innova,0,22.6
2005,197176,Innova,Innova,0,10.89
2006,142000,Camry,Camry,1,6.65
2010,78000,Land,Cruiser,1,24.94
2012,56000,Corolla,Altis,1,13.47
2013,47000,Etios,Liva,1,3.64
2014,40000,Etios,G,0,2.61
2009,62000,Corolla,Altis,0,4.08
2014,58242,Innova,Innova,1,16.24
2005,75000,Innova,Innova,0,20.11
2015,40000,Fortuner,Fortuner,0,11.42
2008,89000,Corolla,Altis,0,2.99
2012,72000,Corolla,Altis,0,10.47
2016,29000,Innova,Innova,0,24.91
2017,8700,Corolla,Altis,1,13.93
2013,45000,Corolla,Altis,0,24.32
2010,50024,Fortuner,Fortuner,1,21.73
2016,3000,Royal,Enfield Thunder 500,1,1.77
2017,1400,Um,Renegade Mojave,1,18.44
2017,4000,Ktm,Rc200,1,17.52
2017,1200,Bajaj,Dominar 400,0,14.12
2017,4100,Royal,Enfield Classic 350,0,7.77
2015,21700,Ktm,Rc390,1,16.56
2014,16500,Hyosung,Gt250R,1,4.12
2013,15000,Royal,Enfield Thunder 350,0,11.72
2016,18000,Royal,Enfield Thunder 350,1,12.16
2017,11000,Royal,Enfield Classic 350,1,23.91
2016,6000,Ktm,Rc200,0,22.08
2016,8700,Royal,Enfield Thunder 350,1,7.69
2014,7000,Ktm,390 Duke,0,13.26
2016,35000,Mahindra,Mojo Xt300,1,5.7
2015,17000,Royal,Enfield Classic 350,0,22.95
2015,17500,Royal,Enfield Classic 350,0,21.96
2013,33000,Royal,Enfield Classic 350,1,8.51
2015,14000,Royal,Enfield Thunder 500,0,16.52
2015,26000,Royal,Enfield Classic 350,0,15.81
2013,5400,Royal,Enfield Thunder 500,1,5.09
2016,5700,Bajaj,Pulsar Rs200,0,19.42
2011,6900,Royal,Enfield Thunder 350,0,14.18
2016,6000,Royal,Enfield Bullet 350,1,19.8
2013,46500,Royal,Enfield Classic 350,1,13.96
2012,11500,Royal,Enfield Classic 500,0,1.51
2009,40000,Royal,Enfield Classic 500,0,9.12
2017,1300,Bajaj,Avenger 220,1,1.96
2016,7000,Bajaj,Avenger 150,1,23.33
2017,3000,Honda,Cb Hornet 160R,0,22.15
2017,5000,Yamaha,Fz S V 2.0,0,21.04
2017,11000,Honda,Cb Hornet 160R,0,8.73
2015,18000,Yamaha,Fz 16,0,2.86
2017,3500,Bajaj,Avenger 220,0,22.13
2016,500,Bajaj,Avenger 220,1,23.75
2017,11800,Tvs,Apache Rtr 160,0,3.51
2015,5000,Bajaj,Pulsar 150,0,12.92
2014,23500,Honda,Cbr 150,0,3.13
2013,16000,Hero,Extreme,1,19.37
2016,15000,Honda,Cb Hornet 160R,0,19.5
