Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2020,30315,Hyundai,Elantra,0,31.78
2009,271042,Honda,CR-V,0,1.61
2010,131176,Kia,Picanto,0,10.37
2015,37433,Toyota,Corolla,1,18.13
2012,156838,Chevrolet,Spark,1,8.95
2013,59030,Honda,CR-V,0,18.34
2014,265264,Honda,Civic,1,8.28
2019,162164,Mazda,BT-50,0,22.87
2017,264583,Chevrolet,Spark,1,11.99
2011,273400,Nissan,Versa,1,2.23
2023,226091,Hyundai,Elantra,0,25.83
2018,188594,Honda,CR-V,1,16.41
2010,146525,Mazda,Mazda2,1,8.55
2017,238644,Honda,Civic,1,13.18
2022,191365,Hyundai,i20,0,25.2
2014,155697,Mazda,Mazda2,0,15.57
2023,47247,Kia,Picanto,0,34.22
2021,150972,Nissan,Sentra,1,23.23
2012,48507,Kia,Cerato,0,16.76
2023,100600,Chevrolet,Spark,1,26.05
2019,172044,Ford,Ranger,0,22.01
2020,213703,Toyota,RAV4,1,17.22
2009,104934,Mazda,BT-50,0,11.62
2011,183286,Mazda,Mazda3,0,7.62
2019,18369,Ford,Fiesta,0,31.1
2016,187132,Kia,Cerato,1,13.61
2022,256865,Honda,Fit,1,17.48
2018,143808,Ford,Fiesta,1,19.27
2014,194662,Ford,Fiesta,0,13.26
2010,141899,Toyota,Hilux,1,9.4
2024,177839,Hyundai,Elantra,0,28.96
2020,123876,Chevrolet,Onix,0,25.67
2008,151495,Hyundai,i20,1,4.45
2019,196174,Hyundai,Accent,0,19.26
2014,182071,Chevrolet,Tracker,0,13.33
2019,49448,Toyota,RAV4,0,29.48
2013,232501,Chevrolet,Tracker,1,6.48
2020,49522,Kia,Picanto,0,28.76
2012,248979,Ford,Fiesta,0,7.0
2012,73673,Mazda,CX-5,0,14.95
2021,107134,Honda,Accord,0,26.63
2024,131111,Chevrolet,Cruze,1,25.81
2009,190484,Kia,Cerato,1,5.09
2012,279468,Kia,Cerato,0,6.09
2012,95359,Ford,Fiesta,0,15.12
2018,276764,Honda,Civic,1,12.86
2015,105299,Honda,Civic,1,14.9
2008,38223,Honda,Fit,1,10.0
2022,271420,Chevrolet,Cruze,1,17.38
2014,239633,Chevrolet,Cruze,0,9.94
2018,43035,Kia,Picanto,0,26.89
2011,85974,Chevrolet,Cruze,1,11.02
2015,54348,Ford,Ranger,1,19.84
2013,231241,Ford,Focus,1,7.3
2018,53336,Chevrolet,Cruze,1,21.11
2008,206507,Mazda,BT-50,1,2.63
2011,124828,Nissan,Versa,0,10.82
2013,146791,Nissan,Versa,0,14.8
2012,274894,Nissan,Frontier,1,5.05
2009,101125,Honda,CR-V,1,10.01
2010,141604,Nissan,Versa,0,9.96
2016,68794,Chevrolet,Spark,1,17.81
2012,27652,Kia,Sportage,0,20.28
2009,99972,Ford,Escape,0,11.74
2017,238668,Nissan,Sentra,0,14.05
2009,13045,Toyota,Hilux,0,15.97
2015,239385,Chevrolet,Tracker,0,12.18
2020,270649,Kia,Picanto,1,15.41
2014,78252,Chevrolet,Cruze,1,17.75
2008,42079,Toyota,Yaris,1,10.13
2020,270259,Toyota,Corolla,1,15.16
2022,102177,Nissan,Versa,0,29.13
2019,177452,Toyota,Hilux,1,17.2
2019,100922,Nissan,Sentra,0,24.9
2016,268593,Honda,Fit,0,10.82
2016,52056,Toyota,Corolla,0,23.31
2008,162100,Toyota,RAV4,1,5.06
2020,175988,Honda,Accord,1,18.26
2024,230047,Ford,Fiesta,0,26.95
2010,21337,Toyota,Yaris,0,15.21
2020,241656,Hyundai,i20,0,19.46
2016,6737,Chevrolet,Tracker,1,23.1
2023,137222,Honda,Civic,0,30.41
2015,246350,Chevrolet,Onix,1,10.65
2017,29509,Honda,Fit,0,25.09
2016,164602,Ford,Escape,0,15.89
2016,57176,Toyota,RAV4,0,23.85
2022,249264,Nissan,Kicks,1,19.21
2010,252959,Chevrolet,Cruze,0,2.82
2016,207819,Honda,Fit,0,16.2
2010,79312,Chevrolet,Spark,1,12.49
2011,196463,Ford,Escape,0,8.08
2008,88396,Mazda,BT-50,0,10.94
2017,78771,Mazda,BT-50,1,19.61
2018,5912,Hyundai,i20,1,25.55
2014,11145,Kia,Rio,1,18.71
2020,45055,Honda,Fit,1,26.77
2016,58325,Nissan,Versa,0,24.26
2015,144318,Nissan,Sentra,1,14.47
2021,20210,Chevrolet,Cruze,1,29.19
2009,220422,Chevrolet,Spark,1,3.54
2023,30678,Ford,Escape,0,34.31
2017,161118,Kia,Sportage,1,16.91
2015,162724,Nissan,Frontier,1,13.74
2013,89754,Kia,Rio,0,16.14
2022,179501,Mazda,Mazda3,1,21.48
2010,96590,Chevrolet,Onix,1,10.48
2019,140453,Hyundai,Elantra,0,24.36
2021,279815,Kia,Picanto,0,18.09
