Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2012,203577,Toyota,Hilux,0,39580619
2020,91338,Toyota,RAV4,0,103242441
2020,185943,Hyundai,Tucson,0,62425235
2022,20317,Nissan,Versa,1,49493951
2012,176886,Mazda,Mazda2,1,15243933
2023,152315,Toyota,Hilux,0,116872175
2020,138752,Toyota,Hilux,0,99866228
2020,5289,Volkswagen,Jetta,0,85644141
2025,138474,Volkswagen,Polo,0,50791457
2012,241506,Toyota,Yaris,0,11657105
2022,233713,Hyundai,Elantra,1,32150419
2016,155669,Hyundai,Accent,1,19469273
2017,108356,Toyota,Hilux,0,95089972
2025,254722,Toyota,Hilux,0,90427683
2015,42307,Volkswagen,Polo,0,35449053
2010,37318,Ford,Fiesta,0,14521228
2018,252261,Hyundai,Tucson,0,44213370
2012,135777,Mazda,CX-5,0,40526015
2022,21263,Nissan,Versa,0,59543935
2018,252548,Toyota,Hilux,0,60816973
2021,8236,Hyundai,Elantra,0,80369712
2014,99546,Nissan,Versa,0,27655206
2019,40309,Toyota,RAV4,0,119145580
2021,35153,Kia,Rio,0,47637128
2015,212312,Mazda,CX-5,0,43653720
2010,93629,Chevrolet,Onix,0,12544771
2023,209384,Ford,Focus,0,37703259
2014,92065,Hyundai,Tucson,0,57022176
2020,26341,Hyundai,Accent,0,44706268
2018,106377,Renault,Sandero,1,18034519
2016,200735,Renault,Duster,0,28705027
2017,24308,Renault,Sandero,0,24063479
2014,245629,Volkswagen,Jetta,0,25280364
2025,193512,Chevrolet,Onix,0,28242976
2022,241730,Ford,Focus,0,32263576
2010,237475,Chevrolet,Tracker,0,12715144
2013,183212,Ford,Focus,1,17893055
2023,84708,Hyundai,Tucson,0,112366766
2015,102237,Hyundai,Accent,0,24035415
2018,219411,Nissan,Sentra,0,33513238
2012,243613,Nissan,Sentra,0,17444845
2020,16394,Volkswagen,Jetta,0,76539030
2013,124040,Nissan,Sentra,0,31096752
2024,71707,Hyundai,Accent,0,50099037
2024,133333,Hyundai,Accent,0,43737089
2015,34332,Hyundai,Accent,1,25340929
2011,125288,Chevrolet,Onix,0,12343478
2011,123479,Hyundai,Accent,0,16081046
2010,86049,Kia,Sportage,0,31763019
2019,46045,Mazda,Mazda3,0,63462378
2025,178624,Toyota,Corolla,0,59904566
2016,81364,Volkswagen,Gol,0,17894136
2012,29060,Renault,Sandero,0,15658811
2012,168589,Kia,Picanto,0,8007434
2011,151424,Ford,Fiesta,0,13177530
2014,131294,Volkswagen,Polo,1,21911660
2017,240557,Renault,Logan,0,11496590
2023,174022,Toyota,Corolla,0,55062497
2023,185192,Renault,Duster,0,44085199
2020,57577,Mazda,Mazda3,0,68837279
2017,110603,Chevrolet,Onix,0,25162764
2016,104258,Nissan,Sentra,1,35604840
2014,126687,Toyota,Hilux,0,71106797
2024,244869,Chevrolet,Spark GT,0,12521970
2021,77695,Toyota,RAV4,0,117063063
2013,157405,Toyota,Corolla,0,30523221
